Name,Gender,Grade,Math,Science,English,Total,score,grade
Aryan,Female,4,26.0,5.0,92.0,123,41.0,F
Aditi,Female,5,26.0,9.0,39.0,74,24.666666666666668,F
Vihaan,Female,8,98.0,53.0,59.0,210,70.0,C
Zara,Male,5,93.0,20.0,68.0,181,60.333333333333336,C
Aarav,Female,5,41.0,16.0,86.0,143,47.666666666666664,F
Ananya,Female,7,53.0,20.0,51.0,124,41.333333333333336,F
Reyansh,Female,7,78.0,33.0,65.0,176,58.666666666666664,C
Krishna,Male,4,20.0,40.0,82.0,142,47.333333333333336,F
Diya,Female,12,21.0,75.0,57.0,153,51.0,C
Reyansh,Male,6,4.0,55.0,45.0,104,34.666666666666664,F
Aryan,1,3,77.0,2.0,74.0,153,51.0,C
Krishna,Male,2,92.0,26.0,17.0,135,45.0,F
Arjun,Male,5,80.0,2.0,50.0,132,44.0,F
Ishaan,Male,12,31.0,22.0,31.0,84,28.0,F
Arjun,Male,3,83.0,37.0,44.0,164,54.666666666666664,C
Kabir,Male,4,76.0,12.0,20.0,108,36.0,F
Vihaan,Female,7,58.0,47.0,56.0,161,53.666666666666664,C
Arjun,Female,11,69.0,7.0,4.0,80,26.666666666666668,F
Kabir,Male,8,87.0,48.0,3.0,138,46.0,F
Rohan,Male,5,15.0,71.0,87.0,173,57.666666666666664,C
Kabir,Female,6,44.0,81.0,76.0,201,67.0,C
Krishna,Female,12,19.0,13.0,29.0,61,20.333333333333332,F
Anika,Female,7,54.0,65.0,60.0,179,59.666666666666664,C
Advika,1,4,47.0,96.0,47.0,190,63.333333333333336,C
Reyansh,Female,4,81.0,49.0,72.0,202,67.33333333333333,C
Shaurya,Female,12,42.0,18.0,92.0,152,50.666666666666664,C
Reyansh,Male,7,60.0,90.0,59.0,209,69.66666666666667,C
Shaurya,Male,11,31.0,53.0,99.0,183,61.0,C
Anika,1,3,11.0,41.0,13.0,65,21.666666666666668,F
Rohan,Female,4,80.0,17.0,51.0,148,49.333333333333336,F
Aarav,Male,6,23.0,59.0,52.0,134,44.666666666666664,F
Shaurya,1,10,32.0,67.0,45.0,144,48.0,F
Advika,Female,12,76.0,19.0,13.0,108,36.0,F
Reyansh,Male,6,100.0,59.0,89.0,248,82.66666666666667,B
Shaurya,Male,6,56.0,67.0,74.0,197,65.66666666666667,C
Rohan,Female,11,52.0,85.0,92.0,229,76.33333333333333,B
Zara,Male,11,56.0,44.0,92.0,192,64.0,C
Shaurya,Male,10,61.0,25.0,60.0,146,48.666666666666664,F
Navya,1,4,58.0,38.0,59.0,155,51.666666666666664,C
Aryan,Female,12,57.0,94.0,100.0,251,83.66666666666667,B
Ishaan,Male,1,38.0,15.0,73.0,126,42.0,F
Ishaan,Female,2,8.0,2.0,3.0,13,4.333333333333333,F
Shaurya,Female,8,91.0,18.0,88.0,197,65.66666666666667,C
Anika,Female,3,30.0,35.0,93.0,158,52.666666666666664,C
Navya,Female,8,54.0,65.0,37.0,156,52.0,C
Vihaan,Female,8,12.0,22.0,2.0,36,12.0,F
Reyansh,1,8,71.0,1.0,19.0,91,30.333333333333332,F
Vihaan,Male,10,86.0,14.0,83.0,183,61.0,C
Navya,Male,2,91.0,62.0,34.0,187,62.333333333333336,C
Krishna,Male,1,51.0,91.0,65.0,207,69.0,C
Aryan,1,8,53.0,74.0,24.0,151,50.333333333333336,C
Aditi,Male,4,34.0,66.0,64.0,164,54.666666666666664,C
Vihaan,Female,2,78.0,91.0,66.0,235,78.33333333333333,B
Kabir,Female,6,92.0,63.0,92.0,247,82.33333333333333,B
Ananya,Male,5,62.0,94.0,6.0,162,54.0,C
Diya,Male,8,90.0,16.0,17.0,123,41.0,F
Reyansh,Female,10,11.0,45.0,76.0,132,44.0,F
Ananya,Female,5,59.0,75.0,31.0,165,55.0,C
Kabir,Male,5,68.0,11.0,66.0,145,48.333333333333336,F
Anika,Female,9,100.0,29.0,64.0,193,64.33333333333333,C
Rohan,Female,6,36.0,89.0,22.0,147,49.0,F
Ishaan,Female,2,66.0,7.0,34.0,107,35.666666666666664,F
Advika,Female,11,11.0,65.0,2.0,78,26.0,F
Saanvi,Female,9,22.0,76.0,0.0,98,32.666666666666664,F
Ishaan,Male,11,85.0,13.0,78.0,176,58.666666666666664,C
Ananya,Female,4,23.0,48.0,78.0,149,49.666666666666664,F
Shaurya,Female,7,56.0,4.0,84.0,144,48.0,F
Ishaan,Female,5,50.0,96.0,81.0,227,75.66666666666667,B
